,close
2019/6/4,3.2101
2019/6/5,3.21
2019/6/6,3.2136
2019/6/10,3.2251
2019/6/11,3.2651
2019/6/12,3.2601
2019/6/13,3.2451
2019/6/14,3.2302
2019/6/17,3.2252
2019/6/18,3.2302
2019/6/19,3.2427
2019/6/20,3.2352
2019/6/21,3.2303
2019/6/24,3.2453
2019/6/25,3.2353
2019/6/26,3.2453
2019/6/27,3.2553
2019/6/28,3.2254
2019/7/1,3.2254
2019/7/2,3.1704
2019/7/3,3.1554
2019/7/4,3.1479
2019/7/5,3.1705
2019/7/8,3.1805
2019/7/9,3.168
2019/7/10,3.1706
2019/7/11,3.168
2019/7/12,3.1531
2019/7/15,3.1782
2019/7/16,3.1732
2019/7/17,3.1757
2019/7/18,3.1608
2019/7/19,3.1559
2019/7/22,3.1484
2019/7/23,3.1484
2019/7/24,3.171
2019/7/25,3.1635
2019/7/26,3.1661
2019/7/29,3.1836
2019/7/30,3.1761
2019/7/31,3.1552
2019/8/1,3.1487
2019/8/2,3.0914
2019/8/5,3.0563
2019/8/6,3.0613
2019/8/7,3.0514
2019/8/8,3.0465
2019/8/9,3.0216
2019/8/12,3.0391
2019/8/13,3.0041
2019/8/14,3.0105
2019/8/15,3.0115
2019/8/16,3.0217
2019/8/19,3.0191
2019/8/20,3.0317
2019/8/21,3.0567
2019/8/22,3.0543
2019/8/23,3.0644
2019/8/26,3.0494
2019/8/27,3.052
2019/8/28,3.052
2019/8/29,3.0321
2019/8/30,3.0573
2019/9/2,3.0723
2019/9/3,3.0624
2019/9/4,3.0473
2019/9/5,3.0173
2019/9/6,3.0173
2019/9/9,3.025
2019/9/10,3.0425
2019/9/11,3.0525
2019/9/12,3.0876
2019/9/16,3.0926
2019/9/17,3.1076
2019/9/18,3.1278
2019/9/19,3.1053
2019/9/20,3.098
2019/9/23,3.1005
2019/9/24,3.1205
2019/9/25,3.1157
2019/9/26,3.1381
2019/9/27,3.1482
2019/9/29,3.1434
2019/9/30,3.1411
2019/10/8,3.1063
2019/10/9,3.1089
2019/10/10,3.1289
2019/10/11,3.1564
2019/10/12,3.1716
2019/10/14,3.1641
2019/10/15,3.1668
2019/10/16,3.1693
2019/10/17,3.1569
2019/10/18,3.187
2019/10/21,3.2196
2019/10/22,3.2196
2019/10/23,3.2122
2019/10/24,3.2196
2019/10/25,3.2372
2019/10/28,3.2924
2019/10/29,3.3029
2019/10/30,3.3125
2019/10/31,3.288
2019/11/1,3.2757
2019/11/4,3.2954
2019/11/5,3.2454
2019/11/6,3.2555
2019/11/7,3.2736
2019/11/8,3.2765
2019/11/11,3.2463
2019/11/12,3.255
2019/11/13,3.237
2019/11/14,3.2555
2019/11/15,3.2355
2019/11/18,3.1993
2019/11/19,3.1743
2019/11/20,3.1747
2019/11/21,3.1749
2019/11/22,3.1747
2019/11/25,3.1875
2019/11/26,3.1675
2019/11/27,3.17
2019/11/28,3.165
2019/11/29,3.165
2019/12/2,3.2062
2019/12/3,3.1746
2019/12/4,3.1751
2019/12/5,3.1776
2019/12/6,3.1751
2019/12/9,3.1903
2019/12/10,3.1776
2019/12/11,3.1702
2019/12/12,3.1652
2019/12/13,3.1828
2019/12/16,3.1854
2019/12/17,3.2133
2019/12/18,3.2139
2019/12/19,3.2139
2019/12/20,3.1808
2019/12/23,3.1661
2019/12/24,3.1535
2019/12/25,3.1463
2019/12/26,3.1137
2019/12/27,3.1292
2019/12/30,3.1322
2019/12/31,3.1365
2020/1/2,3.1485
2020/1/3,3.1428
2020/1/6,3.1352
2020/1/7,3.1379
2020/1/8,3.1337
2020/1/9,3.1184
2020/1/10,3.0819
2020/1/13,3.084
2020/1/14,3.0994
2020/1/15,3.0897
2020/1/16,3.0918
2020/1/17,3.0832
2020/1/19,3.078
2020/1/20,3.0776
2020/1/21,3.0337
2020/1/22,3.0282
2020/1/23,2.9932
2020/2/3,2.8231
2020/2/4,2.8551
2020/2/5,2.844
2020/2/6,2.8392
2020/2/7,2.8024
2020/2/10,2.7872
2020/2/11,2.834
2020/2/12,2.8333
2020/2/13,2.8201
2020/2/14,2.8631
2020/2/17,2.8928
2020/2/18,2.8664
2020/2/19,2.8776
2020/2/20,2.8857
2020/2/21,2.847
2020/2/24,2.812
2020/2/25,2.822
2020/2/26,2.7973
2020/2/27,2.7702
2020/2/28,2.7376
2020/3/2,2.7428
2020/3/3,2.7478
2020/3/4,2.673
2020/3/5,2.6829
2020/3/6,2.628
2020/3/9,2.5205
2020/3/10,2.613
2020/3/11,2.6079
2020/3/12,2.6379
2020/3/13,2.6759
2020/3/16,2.6758
2020/3/17,2.7135
2020/3/18,2.7136
2020/3/19,2.7299
2020/3/20,2.6815
2020/3/23,2.6315
2020/3/24,2.6289
2020/3/25,2.6289
2020/3/26,2.594
2020/3/27,2.609
2020/3/30,2.6142
2020/3/31,2.5899
2020/4/1,2.555
2020/4/2,2.5854
2020/4/3,2.5965
2020/4/7,2.5112
2020/4/8,2.4824
2020/4/9,2.5226
2020/4/10,2.5403
2020/4/13,2.5658
2020/4/14,2.5591
2020/4/15,2.5455
2020/4/16,2.5276
2020/4/17,2.559
2020/4/20,2.592
2020/4/21,2.5791
2020/4/22,2.5567
2020/4/23,2.5227
2020/4/24,2.51
2020/4/26,2.5205
2020/4/27,2.5345
2020/4/28,2.5254
2020/4/29,2.5009
2020/4/30,2.538
2020/5/6,2.5809
2020/5/7,2.6298
2020/5/8,2.6207
2020/5/9,2.64
2020/5/11,2.6698
2020/5/12,2.6603
2020/5/13,2.7076
2020/5/14,2.6989
2020/5/15,2.682
2020/5/18,2.7253
2020/5/19,2.7272
2020/5/20,2.69
2020/5/21,2.685
2020/5/22,2.6176
2020/5/25,2.6852
2020/5/26,2.7402
2020/5/27,2.7527
2020/5/28,2.7201
2020/5/29,2.7053
2020/6/1,2.7253
2020/6/2,2.7852
2020/6/3,2.7901
2020/6/4,2.8301
2020/6/5,2.8475
2020/6/8,2.8101
2020/6/9,2.8031
2020/6/10,2.8201
2020/6/11,2.7701
2020/6/12,2.7451
2020/6/15,2.7878
2020/6/16,2.8402
2020/6/17,2.8802
2020/6/18,2.8527
2020/6/19,2.8752
2020/6/22,2.9153
2020/6/23,2.9127
2020/6/24,2.8614
2020/6/28,2.8404
2020/6/29,2.8504
2020/6/30,2.823
2020/7/1,2.8456
2020/7/2,2.8584
2020/7/3,2.8974
2020/7/6,2.9959
2020/7/7,3.0158
2020/7/8,3.0632
2020/7/9,3.0809
2020/7/10,3.0305
2020/7/13,3.0557
2020/7/14,3.0057
2020/7/15,2.9559
2020/7/16,2.9459
2020/7/17,2.9507
2020/7/20,2.9311
2020/7/21,2.9011
2020/7/22,2.8861
2020/7/23,2.9064
2020/7/24,2.8612
2020/7/27,2.8791
2020/7/28,2.9214
2020/7/29,2.9415
2020/7/30,2.9364
2020/7/31,2.9664
2020/8/3,2.9466
2020/8/4,2.9365
2020/8/5,2.9592
2020/8/6,2.9816
2020/8/7,2.9918
2020/8/10,2.9543
2020/8/11,2.9544
2020/8/12,2.962
2020/8/13,2.9555
2020/8/14,2.9369
2020/8/17,2.9421
2020/8/18,2.9771
2020/8/19,2.9921
2020/8/20,2.9973
2020/8/21,2.9823
2020/8/24,2.9998
